default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.themes-niveau-2;custom.themes-niveau-3;custom.version;custom.date-de-creation;custom.frequence-de-mise-a-jour;custom.periode-de-temps;custom.code-source;custom.pieces-jointes;datasetid
Action sociale des communes et des intercommunalités - Enquête ASCO;"<p><span style=""font-size: 15px;"">L’enquête sur l’action sociale des communes et intercommunalités (ASCO) effectuée par la DREES permet de disposer d’informations approfondies sur l’ensemble de l’action sociale mise en œuvre par les communes et intercommunalités françaises en 2014.</span><span style=""font-size: 15px;""> </span></p><p style=""font-size:15px;"">Les communes ne sont tenues
qu’à peu d’obligations légales
dans le domaine social, mais
elles peuvent mettre en place de nombreuses actions sociales dites « facultatives », à destination de leurs administrés. Cette action sociale communale peut être
menée à la fois par les services communaux ou par les centres communaux
d’action sociale (CCAS) et être également
confiée à une intercommunalité (un établissement public de coopération intercommunale [EPCI]).</p><p style=""font-size:15px;"">L’action sociale communale peut porter sur de nombreux domaines. Elle
s’adresse aux personnes âgées, aux personnes handicapées ; elle couvre
aussi la lutte contre la pauvreté et les exclusions, les politiques d’hébergement ou de logement, de la petite enfance, de la jeunesse et de la famille,
de l’insertion professionnelle, de l’accès aux soins et de la prévention sanitaire. D'autres domaines peuvent dépendre de l’action sociale : le transport, l’urbanisme, le sport, l’environnement, la culture, etc. </p><p style=""font-size:15px;"">Les principaux thèmes
abordés sont les types de prestations mis en place dans les communes,
les établissements qu’elles gèrent (établissements pour personnes âgées,
personnes handicapées, jeunes enfants, etc.), les domaines d’action et les
publics visés par les prestations sociales communales, les modalités d’attribution des aides ainsi que la répartition de ces actions entre les services
des communes et leur centre communal d’action sociale (CCAS), mais
aussi le transfert de ces compétences aux EPCI et à un éventuel centre
intercommunal d’action sociale (CIAS). Sont également évoqués les
rapports des communes aux départements et à leurs autres partenaires
(notamment les caisses de Sécurité sociale).<br/></p>";Système de protection sociale,Minima sociaux et Pauvreté,Handicap et Invalidité,Grand âge et autonomie,Enfance, jeunesse, famille;Communes,Intercommunalités,CCAS,CIAS,Action sociale,Action sociale communale,Personne âgée,Personne handicapée,Enfance,famille,Insertion sociale et professionnelle,Logement,Petite enfance,Lutte contre la pauvreté et les exclusions,hébergement,Accès aux soins,Prévention sanitaire,Analyse des besoins sociaux;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;;;;2021-01-22T08:23:25.706000+00:00;True;False;;2021-11-23T17:46:15.408000+00:00;world_fr;True;France;;;DREES/OSOL/BCL;https://drees.solidarites-sante.gouv.fr/etudes-et-statistiques/open-data/aide-et-action-sociale/article/l-enquete-sur-l-action-sociale-des-communes-et-intercommunalites-asco;0;;;;;;;False;sgsocialgouv;;;Action sociale des communes;;2017-10-27;;2014;; Intercommunalités : Les aides et actions sociales, leur organisation sur le territoire intercommunal;2848_action-sociale-des-communes-et-des-intercommunalites
Indicateurs EpiCov;"<p class=""MsoNormal"" style=""text-align:justify"">Les jeux de données mis à
disposition présentent des indicateurs calculés à partir de l’enquête EpiCov,
menée par la DREES et l’INSERM entre mai 2020 et décembre 2022 en quatre volets
d’interrogations. Pour obtenir des informations sur l'enquête et son protocole,
il est possible de consulter <a href=""https://drees.solidarites-sante.gouv.fr/sources-outils-et-enquetes/enquete-epicov-epidemiologie-et-conditions-de-vie-sous-le-covid-19"">la
page dédiée sur le site de la DREES</a>, ou bien les publications décrivant ce
protocole de manière détaillée<font face=""Calibri, sans-serif""><span style=""font-size: 14.6667px;""> </span></font><o:p></o:p><span style=""font-family: inherit; font-size: 0.875rem;"">(</span><a href=""http://jms-insee.fr/jms2022s04_1/"" style=""font-family: sans-serif; font-size: 0.875rem; background-color: rgb(255, 255, 255); font-weight: 400;"">lien</a><span style=""font-family: inherit; font-size: 0.875rem;"">)</span></p><p class=""MsoNormal"" style=""text-align:justify"">Les données sont
organisées selon les volets d’enquête qui ont permis de calculer les
indicateurs proposés : la volet 1 a été collecté au cours du mois de mai
2020, la volet 2 entre octobre et décembre 2020 et la volet 3 entre juin et
août 2021. Le quatrième et dernier volet de la cohorte, collectée entre octobre
et décembre 2022, ne fait pas pour l’instant l’objet de cette diffusion, même
s’il a vocation à intégrer les jeux de données mis à disposition<span style=""font-family: inherit; font-size: 0.875rem;"">.</span></p><div><div id=""ftn1""><p class=""MsoFootnoteText""><o:p></o:p></p>

</div>

</div>";Santé et Système de soins;Santé de la population,Inégalité sociale;;;fr;fr;;2024-05-07T13:28:01+00:00;True;True;2024-05-07T13:28:01+00:00;2024-05-07T13:32:27.712000+00:00;;False;;;;DREES/OSAM/BESP;;0;;;;;;;False;sgsocialgouv;;Santé des populations;;;;;;;;indicateurs-epicov
Modes de garde et d'accueil des enfants âgés de moins de 3 ans à La Réunion;"<p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">L’enquête Modes de garde et d’accueil des
jeunes enfants (MDG) offre un panorama complet des organisations des familles
avec jeunes enfants en matière d’articulation entre vie familiale et vie professionnelle.
Elle permet en particulier d’appréhender les recours et les souhaits des
parents en matière de mode d’accueil en fonction de nombreuses caractéristiques
des familles et des enfants. <o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""> </span></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Réalisée en 2002, 2007, 2013 et 2021 en France métropolitaine,<b>
l’enquête MDG</b> <b>a bénéficié pour la première fois, en 2021, d’une
extension à La Réunion.<o:p></o:p></b></span></p><p class=""MsoNormal"" style=""margin: 0cm 0cm 0cm 35.4pt; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""> </span></i></p><p class=""MsoNormal"" style=""margin: 0cm 0cm 0cm 35.4pt; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Pour une présentation
complète de l’enquête, consultez le lien suivant :</span> </i><a href=""https://drees.solidarites-sante.gouv.fr/sources-outils-et-enquetes/lenquete-modes-de-garde-et-daccueil-des-jeunes-enfants""><i>L’enquête Modes de garde et d’accueil des
jeunes enfants | Direction de la recherche, des études, de l'évaluation et des
statistiques (solidarites-sante.gouv.fr)</i></a><i><span style=""font-size: 11.5pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><o:p></o:p></span></i></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 11.5pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""> </span></p><p class=""StandardWW"" style=""margin-bottom:4.0pt;text-align:justify""><span style='font-size:10.0pt;line-height:102%;font-family:""Arial"",sans-serif;
mso-bidi-font-family:Calibri;mso-bidi-font-weight:bold'>À La Réunion,
75 % des enfants de moins de 3 ans sont gardés principalement en semaine
par leurs parents, une part bien plus élevée qu’en France métropolitaine
(56 %). Les grands-parents sont aussi plus souvent en relais sur l’Île. <i>A
contrario</i>, le recours à des modes de garde formels est moins courant et en
moyenne de plus courte durée. Ainsi, à La Réunion, 5 % des enfants de
moins de 3 ans sont confiés à titre principal en semaine à une assistante
maternelle (20 % en France métropolitaine) et 13 % sont accueillis en
établissement d’accueil du jeune enfant (EAJE : crèches et
haltes-garderies, 18 % en France métropolitaine). Les enfants accueillis
dans un mode d’accueil formel y passent en moyenne
35 heures (38 heures en France métropolitaine). À La Réunion comme en France
métropolitaine, le mode d’accueil principal des enfants ne correspond pas
toujours au premier choix des parents : si tous les parents obtenaient
leur premier choix, les enfants seraient nettement moins souvent gardés
principalement par leurs parents (53 % à La Réunion et 35 % en France
métropolitaine) et bien plus souvent accueillis dans un mode de garde formel
(respectivement 36 % et 58 %).<o:p></o:p></span></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i><span style=""font-size: 11.5pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""> </span></i></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i><span style=""font-size: 11.5pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""> </span></i></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Études publiées à partir des données
présentées :</span></p><ul><li style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><a href=""https://www.insee.fr/fr/statistiques/8244648"" style=""text-indent: -18pt; font-size: 0.875rem; background-color: rgb(255, 255, 255);""><i><span style=""font-size:12.0pt;color:#0070C0"">À La Réunion,
les trois quarts des enfants de moins de trois ans sont gardés principalement
par un de leurs parents</span></i></a><span class=""MsoHyperlink"" style=""font-family: inherit; text-indent: -18pt; font-size: 0.875rem;"">, </span><span style=""font-family: inherit; text-indent: -18pt; font-size: 0.875rem;"">Insee
Flash Réunion n°278</span></li></ul><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><span style=""color: rgb(44, 62, 80); font-family: Arial, sans-serif; font-size: 13.3333px;""> </span><br></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i style=""font-family: inherit; font-size: 0.875rem;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><br></span></i></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i><span style=""font-size: 9pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">En raison des arrondis, des écarts d’un point
de pourcentage peuvent exister entre les chiffres publiés dans les études et
ceux présentés dans ce jeu de données. Par ailleurs, </span></i><i style=""font-family: inherit; font-size: 0.875rem; text-indent: -18pt;""><span style=""font-size: 9pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">l’analyse des catégories
sociales est restreinte aux mères en emploi à la date de l’enquête dans l’Insee
Flash Réunion n°278, tandis qu’elle est présentée dans ce jeu de données pour
l’ensemble des mères, qu’elles soient en emploi, au chômage ou inactives ;
le cas échéant, c’est la catégorie sociale du dernier emploi occupé qui est
prise en compte.</span></i></p><p class=""MsoNormal"" style=""margin-bottom: 0cm; text-align: justify; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><i style=""font-family: inherit; font-size: 0.875rem;""><span style=""font-size: 10pt; font-family: Arial, sans-serif; color: rgb(44, 62, 80); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""><br></span></i></p>";Enfance, jeunesse, famille;enquete Modes de garde et d'accueil des jeunes enfants (MDG),mode d'accueil,mode de garde,jeune enfant,conciliation vie familiale et professionnelle,articulation vies famililale et professionnelle;;;fr;fr;;2024-08-26T13:55:21+00:00;False;False;;2024-08-29T07:57:15.837000+00:00;fr_40_04;False;La Réunion;;;DREES/OSOL/BJF;https://drees.solidarites-sante.gouv.fr/sources-outils-et-enquetes/lenquete-modes-de-garde-et-daccueil-des-jeunes-enfants;0;;;;;;;False;sgsocialgouv;;Accueil des jeunes enfants,Situation des enfants, familles et jeunes adultes;;;;;2021;;;enquetemdg2021_reu
Caractéristiques des retraités - Conditions de liquidation;<p>Ce jeu de données décrit les caractéristiques des retraités en fonction des conditions de liquidation.<br/>Il porte sur les retraités et leurs pensions fin 2016.<br/>Source : DREES, Echantillon interrégimes de retraités, 2016<br/></p>;Retraite;EIR2016,taux plein,invalidité ,inaptitude,décote,surcote,carrière longue;;;fr;fr;;2022-07-11T14:25:01+00:00;False;True;2022-07-11T14:25:01+00:00;2022-07-11T14:25:01.659000+00:00;world_fr;True;France;;;DREES/OSOL/BRET;;1182;;;;;;;False;sgsocialgouv;;Age et conditions de départ à la retraite;;;;;2016;;;rec05
Nombre moyen de trimestres validés à 30 ans, par sexe et par génération (1942:1982) (EIC 2013);;Retraite;EIC 2013,trimestres,Retraités et retraites 2017,droit validé;;;fr;fr;;2020-09-17T15:04:03+00:00;False;False;2020-11-26T14:01:31+00:00;2022-12-16T13:32:37.605000+00:00;world_fr;True;France;;;DREES/OSOL/BRET;;18;;;;;;;False;sgsocialgouv;;Transition emploi-retraite,Cotisants et acquisition des droits;Effets redistributifs du système de retraite;;;;"1942:1982;2013";;;nombre-moyen-de-trimestres-valides-a-30-ans-par-sexe-et-par-generation-entre-194
ER 1281 graphique 5;;;privé,Datavisualisations;;;fr;fr;;2024-02-28T14:28:37+00:00;False;False;2024-02-28T14:31:03+00:00;2024-03-14T09:40:04.570000+00:00;;False;;;;;;8;;;;;;;False;sgsocialgouv;;;;;;;;;;donnees-graphique-5
Les conditions de logement des bénéficiaires de minima sociaux et de la prime d’activité tirées de l’enquête BMS 2018;"<p><span style='background: white; color: rgb(51, 51, 51); font-family: ""Open Sans"",sans-serif; font-size: 10.5pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: FR; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;'>Ce fichier présente des statistiques descriptives sur les conditions de logement des bénéficiaires d'un revenu minima garanti selon la prestation perçue et différentes variables catégorielles (sexe, âge, lieu de naissance, etc.).  </span><br/></p>";Minima sociaux et Pauvreté;"Pauvreté;Logement;Bénéficiaires de minima sociaux et de la prime d'activité";;;fr;fr;;2021-05-03T12:11:28.249000+00:00;True;False;;2021-05-04T11:55:35.631000+00:00;world_fr;True;France;;;DREES/OSOL/BLEX;;0;;;;;;;False;sgsocialgouv;;Profils, santé et conditions de vie des ménages modestes;Logement des personnes modestes,Allocation aux adultes handicapés (AAH),Minimum vieillesse,Revenu de solidarité active (RSA),Prime d'activité;;2021-03-08;;2018;;;les-conditions-de-logement-des-beneficiaires-de-minima-sociaux-et-de-la-prime-da
L’isolement social des bénéficiaires de minima sociaux et de la prime d’activité tiré de l’enquête BMS 2018;"<p class=""MsoNormal""><span style=""color: rgb(51, 51, 51); font-size: 10.5pt;"">Ce fichier
présente des statistiques descriptives sur l’isolement social des
bénéficiaires d'un revenu minimum garanti selon la prestation perçue et
différentes variables catégorielles (sexe, âge, lieu de naissance, etc.). </span><span style=""color: rgb(31, 73, 125);""><o:p></o:p></span></p>";Minima sociaux et Pauvreté;;;;fr;fr;;2021-05-03T12:26:22+00:00;False;False;;2021-05-04T12:12:18.409000+00:00;world_fr;True;France;;;DREES/OSOL/BLEX;;0;;;;;;;False;sgsocialgouv;;Profils, santé et conditions de vie des ménages modestes;Allocation aux adultes handicapés (AAH),Allocation de solidarité spécifique (ASS),Minimum vieillesse,Prime d'activité,Revenu de solidarité active (RSA);22 avril 2021;2021-05-04;;2018;;;lisolement-social-des-beneficiaires-de-minima-sociaux-et-de-la-prime-dactivite-t
ER1214 - composition des plans APA domicile;"<p>Données complémentaires de l’Étude et Résultats numéro 1214 ""Allocation personnalisée d'autonomie : la moitié des plans contiennent des aides techniques."". </p><p>Le fichier contient les données citées dans la publication, ainsi que des éléments complémentaires sur la composition des plans d'aide à domicile fin 2017.  <br/></p>";Grand âge et autonomie;;;;fr;fr;;2021-10-26T07:07:25+00:00;False;False;;2021-10-28T09:08:28.497000+00:00;world_fr;True;France;;;;;0;;;;;;;False;sgsocialgouv;;;;;;;;;;er1214-composition-des-plans-apa-domicile
DataDrees_Badiane;"<p class=""MsoNormal"">La base de données interadministrative des ESMS (BADIANE)
est un fichier à vocation d’études et de recherches, rassemblant des
informations relatives au fonctionnement, à l’activité, au personnel et au
public accueilli dans les structures médico-sociales. Le champ de cette base
statistique vise à couvrir dans un premier temps les structures intervenant
auprès des personnes âgées ; il sera dans un second temps élargi aux structures
intervenant auprès des adultes et enfant handicapés. La base de données est
annuelle et permet ainsi le suivi régulier de données représentatives des
structures au niveau national et au niveau territorial. La base ne couvre
actuellement que le champ des établissements d’hébergement pour personnes âgées
dépendantes (Ehpad)<span style=""font-size: 11.5pt; line-height: 107%; font-family: Palanquin, sans-serif; color: rgb(44, 62, 80);"">.<b><o:p></o:p></b></span></p>";Grand âge et autonomie;Personne âgée,établissement,hébergement,dépendance,Badiane;;;fr;fr;;2024-11-05T08:10:08+00:00;False;False;2024-11-13T08:28:57+00:00;2024-11-13T08:28:57.494000+00:00;world_fr;False;France;;;DREES/OSOL/BHD;;0;;;;;;;False;sgsocialgouv;ANNUAL;Etablissements et services pour personnes âgées;Établissements d'hébergement pour personnes âgées;;;;;;DataDrees_Badiane_2019,DataDrees_Badiane_2020,DataDrees_Badiane_2021,DataDrees_Badiane_2022;datadrees_badiane_2019
