Nom Officiel Département,revenu_median_60_74,hopital_court_sejour,services_urgence,dispensaire,soins_domicile_personnes_agees,aide_menagere_personnes_agees,foyer_restaurant_personnes_agees,repas_domicile_personnes_agees,revenu_median_75_plus,access_med_generalistes,60_74_appart_ascenseur,60_74_appart_sans_ascenseur,60_74_menage_2ans,60_74_autre_logement,60_74_menage_30ans_plus,60_74_en_maison,60_74_isoles,60_74_menage_peu_diplome,60_74_menage_immigre,60_74_proprietaires,femmes_60_74_isolees,60_74_sans_voiture,femmes_75_plus_isolees,75_plus_appart_ascenseur,75_plus_autre_logement,75_plus_menage_30ans_plus,75_plus_en_maison,75_plus_menage_peu_diplome,75_plus_menage_immigre,75_plus_proprietaires,75_plus_sans_voiture
Ain,1882710.0,13,5,11,23,37,0,5,1249850.0,1105.905887917,7979.0,12217.0,6406.0,419.0,37925.0,73307.0,20744.0,34629.0,12187.0,74438.0,12959.0,5166.0,14253.0,5696.0,586.0,24485.0,32297.0,28423.0,3995.0,34541.0,11129.0
Aisne,629890.0,12,7,13,30,76,5,14,530480.0,2500.651504151,3178.0,8571.0,5021.0,300.0,41661.0,75811.0,20529.0,41550.0,4496.0,68282.0,13108.0,9454.0,16038.0,2413.0,172.0,27527.0,37857.0,31593.0,1984.0,35764.0,15035.0
Allier,573950.0,8,4,8,8,49,0,0,519820.0,909.288918816,3898.0,6609.0,5003.0,186.0,27493.0,56700.0,17388.0,26440.0,3770.0,53735.0,10912.0,5217.0,14377.0,4364.0,282.0,22302.0,32092.0,26682.0,1747.0,32228.0,11464.0
Alpes-Maritimes,1379170.0,28,12,24,42,37,26,2,1280130.0,502.771,80733.0,37680.0,17668.0,1277.0,45773.0,67812.0,54128.0,62899.0,26683.0,131965.0,36053.0,27278.0,43098.0,66655.0,992.0,50372.0,34645.0,66555.0,15432.0,91239.0,45930.0
Alpes-de-Haute-Provence,338540.0,8,3,5,12,33,1,6,319590.0,631.80861843,1078.0,5356.0,3299.0,138.0,9016.0,25724.0,8369.0,10205.0,2585.0,25017.0,4928.0,2161.0,5523.0,1468.0,100.0,8373.0,13383.0,10193.0,1511.0,14011.0,4577.0
Ardennes,419690.0,8,5,9,6,6,0,0,357640.0,1661.371202179,2110.0,6533.0,2849.0,228.0,22003.0,38073.0,11325.0,21806.0,3530.0,35203.0,7058.0,5158.0,8926.0,1375.0,135.0,15565.0,20037.0,17512.0,1772.0,19353.0,8365.0
Ardèche,845310.0,18,4,7,21,11,0,0,652150.0,897.7595197429999,1756.0,7663.0,4987.0,241.0,24558.0,51996.0,14176.0,23981.0,3713.0,50947.0,8466.0,3087.0,9617.0,1535.0,313.0,18005.0,25357.0,21346.0,1475.0,26017.0,7835.0
Ariège,298750.0,3,3,3,13,14,0,0,274160.0,1166.49184681,129.0,2579.0,2643.0,129.0,10674.0,26854.0,7579.0,10460.0,3068.0,24650.0,4273.0,1937.0,5095.0,166.0,113.0,10091.0,15816.0,11439.0,1675.0,14912.0,4640.0
Aube,497580.0,11,3,7,7,21,10,0,439330.0,1181.608,3933.0,6317.0,3475.0,275.0,22526.0,41579.0,13245.0,24088.0,4468.0,39311.0,8308.0,5084.0,9777.0,2667.0,499.0,16452.0,21603.0,19435.0,1706.0,21464.0,8184.0
Aude,553540.0,8,7,4,13,43,11,5,469630.0,1265.500374983,1935.0,8212.0,7747.0,299.0,21748.0,62644.0,17637.0,25970.0,8299.0,58671.0,10795.0,4819.0,11934.0,1554.0,185.0,20595.0,34638.0,25767.0,4024.0,33535.0,11234.0
