Sexe;Age;Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
;;76;Occitanie;66;1;17;001;L' Albère;63.0;1.0;64.0
;;76;Occitanie;66;1;12;002;Alénya;3712.0;51.0;3763.0
;;76;Occitanie;66;3;02;013;Baillestavy;117.0;1.0;118.0
;;76;Occitanie;66;1;02;018;La Bastide;62.0;0.0;62.0
;;76;Occitanie;66;3;02;022;Boule-d'Amont;64.0;1.0;65.0
;;76;Occitanie;66;1;17;024;Le Boulou;5396.0;57.0;5453.0
;;76;Occitanie;66;3;13;034;Campôme;120.0;5.0;125.0
;;76;Occitanie;66;3;13;047;Caudiès-de-Conflent;21.0;1.0;22.0
;;76;Occitanie;66;3;16;055;Corbère;780.0;16.0;796.0
;;76;Occitanie;66;3;02;057;Corneilla-de-Conflent;532.0;5.0;537.0
;;76;Occitanie;66;3;13;062;Dorres;178.0;5.0;183.0
;;76;Occitanie;66;3;13;074;Eus;381.0;15.0;396.0
;;76;Occitanie;66;3;13;082;Formiguères;491.0;16.0;507.0
;;76;Occitanie;66;3;02;089;Joch;396.0;7.0;403.0
;;76;Occitanie;66;3;13;098;La Llagonne;216.0;9.0;225.0
;;76;Occitanie;66;3;13;104;Los Masos;972.0;12.0;984.0
;;76;Occitanie;66;1;17;106;Maureillas-las-Illas;2859.0;44.0;2903.0
;;76;Occitanie;66;3;13;109;Molitg-les-Bains;248.0;4.0;252.0
;;76;Occitanie;66;1;01;112;Montauriol;251.0;4.0;255.0
;;76;Occitanie;66;3;13;120;Nahuja;75.0;1.0;76.0
;;76;Occitanie;66;3;13;125;Olette;337.0;6.0;343.0
;;76;Occitanie;66;1;01;134;Passa;1079.0;15.0;1094.0
;;76;Occitanie;66;3;15;139;Pézilla-de-Conflent;37.0;0.0;37.0
;;76;Occitanie;66;2;04;141;Pia;11174.0;100.0;11274.0
;;76;Occitanie;66;3;15;143;Planèzes;96.0;2.0;98.0
;;76;Occitanie;66;2;01;145;Ponteilla;3012.0;43.0;3055.0
;;76;Occitanie;66;3;13;146;Porta;103.0;1.0;104.0
;;76;Occitanie;66;3;13;154;Puyvalador;57.0;1.0;58.0
;;76;Occitanie;66;3;15;156;Rabouillet;87.0;1.0;88.0
;;76;Occitanie;66;3;13;157;Railleu;23.0;0.0;23.0
;;76;Occitanie;66;3;15;158;Rasiguères;166.0;2.0;168.0
;;76;Occitanie;66;2;15;164;Rivesaltes;9151.0;145.0;9296.0
;;76;Occitanie;66;3;02;165;Rodès;717.0;13.0;730.0
;;76;Occitanie;66;3;15;169;Saint-Arnac;101.0;1.0;102.0
;;76;Occitanie;66;1;17;175;Saint-Génis-des-Fontaines;2985.0;30.0;3015.0
;;76;Occitanie;66;1;01;177;Saint-Jean-Lasseille;1578.0;16.0;1594.0
;;76;Occitanie;66;3;02;185;Saint-Michel-de-Llotes;360.0;10.0;370.0
;;76;Occitanie;66;3;15;198;Sournia;480.0;3.0;483.0
;;76;Occitanie;66;1;02;199;Taillet;106.0;4.0;110.0
;;76;Occitanie;66;3;15;201;Tarerach;43.0;0.0;43.0
;;76;Occitanie;66;3;13;202;Targasonne;194.0;5.0;199.0
;;76;Occitanie;66;3;02;204;Taurinya;327.0;7.0;334.0
;;76;Occitanie;66;1;01;210;Thuir;8215.0;154.0;8369.0
;;76;Occitanie;66;1;01;217;Trouillas;2291.0;35.0;2326.0
;;76;Occitanie;66;3;13;219;Urbanya;45.0;0.0;45.0
;;76;Occitanie;66;1;17;225;Villelongue-dels-Monts;1917.0;62.0;1979.0
;;76;Occitanie;66;1;01;226;Villemolaque;1289.0;16.0;1305.0
;;76;Occitanie;12;1;12;002;Aguessac;924.0;29.0;953.0
;;76;Occitanie;12;3;08;003;Les Albres;344.0;5.0;349.0
;;76;Occitanie;12;3;23;007;Ambeyrac;181.0;7.0;188.0
;;76;Occitanie;12;3;06;024;Belcastel;190.0;3.0;193.0
;;76;Occitanie;12;3;06;031;Bournazel;325.0;14.0;339.0
;;76;Occitanie;12;3;23;034;Brandonnet;291.0;11.0;302.0
;;76;Occitanie;12;2;01;036;Brommat;632.0;7.0;639.0
;;76;Occitanie;12;1;19;042;Calmels-et-le-Viala;186.0;6.0;192.0
;;76;Occitanie;12;2;01;048;Campouriez;330.0;6.0;336.0
;;76;Occitanie;12;3;23;053;La Capelle-Balaguier;345.0;9.0;354.0
;;76;Occitanie;12;1;04;063;La Cavalerie;2208.0;26.0;2234.0
;;76;Occitanie;12;3;05;065;Centrès;462.0;18.0;480.0
;;76;Occitanie;12;3;05;068;Colombiès;880.0;25.0;905.0
;;76;Occitanie;12;1;13;075;Connac;101.0;2.0;103.0
;;76;Occitanie;12;1;15;078;Les Costes-Gozon;165.0;3.0;168.0
;;76;Occitanie;12;2;10;079;Coubisou;475.0;16.0;491.0
;;76;Occitanie;12;1;04;082;La Couvertoirade;200.0;7.0;207.0
;;76;Occitanie;12;1;15;307;Curan;302.0;7.0;309.0
;;76;Occitanie;12;2;01;088;Curières;214.0;5.0;219.0
;;76;Occitanie;12;3;23;091;Drulhe;451.0;8.0;459.0
;;76;Occitanie;12;1;13;092;Durenque;524.0;10.0;534.0
;;76;Occitanie;12;3;08;104;Foissac;470.0;29.0;499.0
;;76;Occitanie;12;1;04;109;Gissac;96.0;1.0;97.0
;;76;Occitanie;12;2;01;119;Laguiole;1215.0;21.0;1236.0
;;76;Occitanie;12;1;04;122;Lapanouse-de-Cernon;121.0;3.0;124.0
;;76;Occitanie;12;1;15;129;Lestrade-et-Thouels;442.0;13.0;455.0
;;76;Occitanie;12;3;23;136;Maleville;953.0;35.0;988.0
;;76;Occitanie;12;2;17;146;Le Monastère;2301.0;73.0;2374.0
;;76;Occitanie;12;2;01;151;Montézic;226.0;5.0;231.0
;;76;Occitanie;12;2;01;156;Montpeyroux;519.0;15.0;534.0
;;76;Occitanie;12;2;03;157;Montrozier;1748.0;51.0;1799.0
;;76;Occitanie;12;3;02;167;Najac;736.0;18.0;754.0
;;76;Occitanie;12;2;14;174;Olemps;3531.0;90.0;3621.0
;;76;Occitanie;12;2;18;176;Onet-le-Château;12062.0;604.0;12666.0
;;76;Occitanie;12;2;09;184;Pomayrols;118.0;4.0;122.0
;;76;Occitanie;12;1;13;197;Réquista;1940.0;75.0;2015.0
;;76;Occitanie;12;1;13;207;Rullac-Saint-Cirq;342.0;14.0;356.0
;;76;Occitanie;12;2;21;215;Saint-Christophe-Vallon;1181.0;41.0;1222.0
;;76;Occitanie;12;1;19;222;Saint-Félix-de-Sorgues;193.0;3.0;196.0
;;76;Occitanie;12;1;13;230;Saint-Jean-Delnous;382.0;16.0;398.0
;;76;Occitanie;12;1;04;232;Saint-Jean-et-Saint-Paul;284.0;8.0;292.0
;;76;Occitanie;12;2;20;239;Saint-Martin-de-Lenne;334.0;12.0;346.0
;;76;Occitanie;12;3;07;240;Saint-Parthem;406.0;11.0;417.0
;;76;Occitanie;12;2;20;247;Saint-Saturnin-de-Lenne;325.0;6.0;331.0
;;76;Occitanie;12;1;04;220;Sainte-Eulalie-de-Cernon;321.0;2.0;323.0
;;76;Occitanie;12;2;14;241;Sainte-Radegonde;1774.0;63.0;1837.0
;;76;Occitanie;12;3;05;262;Sauveterre-de-Rouergue;711.0;14.0;725.0
;;76;Occitanie;12;1;15;266;Ségur;540.0;13.0;553.0
;;76;Occitanie;12;2;07;268;Sénergues;424.0;9.0;433.0
;;76;Occitanie;12;1;04;269;La Serre;127.0;4.0;131.0
;;76;Occitanie;12;2;01;273;Soulages-Bonneval;302.0;8.0;310.0
;;76;Occitanie;12;1;19;292;Versols-et-Lapeyre;419.0;11.0;430.0
;;76;Occitanie;12;1;15;299;Villefranche-de-Panat;678.0;21.0;699.0
;;76;Occitanie;30;3;15;002;Aigremont;777.0;16.0;793.0
;;76;Occitanie;30;2;21;004;Aigues-Vives;3340.0;60.0;3400.0
;;76;Occitanie;30;2;06;012;Aramon;4082.0;56.0;4138.0
;;76;Occitanie;30;2;16;013;Argilliers;441.0;22.0;463.0
;;76;Occitanie;30;2;20;014;Arpaillargues-et-Aureillac;1048.0;19.0;1067.0
;;76;Occitanie;30;2;01;019;Aubais;2938.0;48.0;2986.0
;;76;Occitanie;30;2;21;020;Aubord;2296.0;31.0;2327.0
;;76;Occitanie;30;2;20;021;Aubussargues;326.0;5.0;331.0
;;76;Occitanie;30;1;02;042;Boisset-et-Gaujac;2621.0;46.0;2667.0
;;76;Occitanie;30;1;15;046;Boucoiran-et-Nozières;995.0;10.0;1005.0
;;76;Occitanie;30;3;22;052;Bréau-Mars;679.0;21.0;700.0
;;76;Occitanie;30;2;01;059;Le Cailar;2566.0;20.0;2586.0
;;76;Occitanie;30;2;07;062;Calvisson;6295.0;89.0;6384.0
;;76;Occitanie;30;2;20;067;La Capelle-et-Masmolène;421.0;6.0;427.0
;;76;Occitanie;30;3;15;071;Cassagnoles;448.0;8.0;456.0
;;76;Occitanie;30;1;04;072;Castelnau-Valence;482.0;13.0;495.0
;;76;Occitanie;30;2;05;081;Chusclan;975.0;24.0;999.0
;;76;Occitanie;30;2;16;085;Collias;1080.0;22.0;1102.0
;;76;Occitanie;30;2;06;089;Comps;1703.0;28.0;1731.0
;;76;Occitanie;30;2;07;091;Congénies;1628.0;33.0;1661.0
;;76;Occitanie;30;2;14;096;Cornillon;908.0;18.0;926.0
;;76;Occitanie;30;3;15;099;Cros;256.0;5.0;261.0
;;76;Occitanie;30;1;15;100;Cruviers-Lascours;703.0;10.0;713.0
;;76;Occitanie;30;3;22;108;L' Estréchure;152.0;2.0;154.0
;;76;Occitanie;30;2;20;110;Flaux;338.0;9.0;347.0
;;76;Occitanie;30;2;03;113;Fons-sur-Lussan;228.0;4.0;232.0
;;76;Occitanie;30;3;15;119;Fressac;161.0;4.0;165.0
;;76;Occitanie;30;1;18;120;Gagnières;1095.0;10.0;1105.0
;;76;Occitanie;30;2;09;125;Garons;5244.0;63.0;5307.0
;;76;Occitanie;30;1;02;129;Générargues;711.0;10.0;721.0
;;76;Occitanie;30;2;14;131;Goudargues;1118.0;33.0;1151.0
;;76;Occitanie;30;2;14;134;Issirac;320.0;4.0;324.0
;;76;Occitanie;30;2;07;136;Junas;1260.0;22.0;1282.0
;;76;Occitanie;30;3;22;140;Lasalle;1166.0;20.0;1186.0
